date,text,pos_tagged
2022-12-02 09:44:00,네이버 작가와 독자 간 상생하는 훌륭한 창작 공간,"[('네이버', 'Noun'), ('작가', 'Noun'), ('와', 'Josa'), ('독자', 'Noun'), ('간', 'Noun'), ('상생', 'Noun'), ('하는', 'Verb'), ('훌륭한', 'Adjective'), ('창작', 'Noun'), ('공간', 'Noun')]"
2022-12-02 09:37:00,코스피 카카오 빠지니 못가는구먼,"[('코스피', 'Noun'), ('카카오', 'Noun'), ('빠지니', 'Verb'), ('못', 'VerbPrefix'), ('가는구먼', 'Verb')]"
2022-12-02 09:37:00,이런데 주식이 오르겠냐,"[('이런데', 'Adjective'), ('주식', 'Noun'), ('이', 'Josa'), ('오르겠냐', 'Verb')]"
2022-12-02 09:19:00,팍팍팍 밀고 올라가자,"[('팍팍', 'Adverb'), ('팍', 'Noun'), ('밀고', 'Noun'), ('올라가자', 'Verb')]"
2022-12-02 09:17:00,백퍼 빠진다,"[('백퍼', 'Noun'), ('빠진다', 'Verb')]"
2022-12-02 09:05:00,무기한 공매도,"[('무기한', 'Noun'), ('공매도', 'Noun')]"
2022-12-02 08:51:00,환율보면 답 나오는거 아닌가,"[('환율', 'Noun'), ('보면', 'Verb'), ('답', 'Noun'), ('나오는거', 'Verb'), ('아닌가', 'Adjective')]"
2022-12-02 08:51:00,오늘 일봉상,"[('오늘', 'Noun'), ('일', 'Modifier'), ('봉상', 'Noun')]"
2022-12-02 08:48:00,오늘도 질질질,"[('오늘', 'Noun'), ('도', 'Josa'), ('질질', 'Noun'), ('질', 'Noun')]"
2022-12-02 08:22:00,오늘 이십만원 찍는다,"[('오늘', 'Noun'), ('이십만원', 'Noun'), ('찍는다', 'Verb')]"
2022-12-02 08:49:00,오늘 이십만원 찍는다,"[('오늘', 'Noun'), ('이십만원', 'Noun'), ('찍는다', 'Verb')]"
2022-12-02 07:16:00,오늘은,"[('오늘', 'Noun'), ('은', 'Josa')]"
2022-12-02 06:13:00,꼭 당 대표가 되시기 바랍니다,"[('꼭', 'Noun'), ('당', 'Noun'), ('대표', 'Noun'), ('가', 'Josa'), ('되시기', 'Verb'), ('바랍니다', 'Verb')]"
2022-12-02 00:51:00,조상땅까지 팔아서 주워 담아라,"[('조상', 'Noun'), ('땅', 'Noun'), ('까지', 'Josa'), ('팔아서', 'Verb'), ('주워', 'Verb'), ('담아라', 'Verb')]"
2022-12-01 23:56:00,헐 오늘 34퍼 올라가지 않았었나요,"[('헐', 'Verb'), ('오늘', 'Noun'), ('34', 'Number'), ('퍼', 'PreEomi'), ('올라가지', 'Verb'), ('않았었나요', 'Verb')]"
