date,text
2022-12-05 21:54:00,백신은 뭐래도 한국제품이 최고
2022-12-05 14:06:00,하고있어요
2022-12-05 14:02:00,등장
2022-12-05 14:01:00,삼바 마사 오랜만이네
2022-12-05 13:59:00,뭔일있나요
2022-12-05 13:53:00,받아라 떡락빔
2022-12-05 13:44:00,삼바 이렇게될줄 몰랐네요
2022-12-05 13:58:00,박박우기더니
2022-12-05 13:41:00,숏환매 완료
2022-12-05 13:33:00,긴급 위에 대놓고때리네요
2022-12-05 13:30:00,무너지는데 지켜만보다니
2022-12-05 13:26:00,언능들 나와요 본전생각하면
2022-12-05 13:24:00,빠지면 곤란한데
2022-12-05 13:17:00,1년 평균값을 그냥 깨버리네요
2022-12-05 13:17:00,재벌집 막내아들인데
2022-12-05 13:16:00,데드켓이라 말씀드렸습니다
2022-12-05 13:11:00,무너지네요 개미들
2022-12-05 13:04:00,영희랑  놀다보면
2022-12-05 13:00:00,오늘 종가  만원
2022-12-05 12:46:00,답답허네 다 말해줄수도 업고 그냥 음봉 충분히 주면 그냥 분할매수 담아놓아라구요
2022-12-05 12:31:00,200만 가즈아Valc님
2022-12-05 12:07:00,최고가 치고그냥 빼버리네
2022-12-05 12:07:00,오늘 최소 5만원 내리고
2022-12-05 11:57:00,페데기 치네 삼바
2022-12-05 11:03:00,85만 분할매수 고려하자고 말해왔다 공매도쉑히덜 공견풀어 폭락하고 회사망할것처럼 떠들때가
2022-12-05 10:57:00,실적이  획기적 변화
2022-12-05 10:45:00,네이버는 좋구먼 삼바가
2022-12-05 09:40:00,삼바는 개인 보유율이 2 미만
2022-12-05 09:25:00,오늘은
2022-12-05 09:07:00,저번부터 당장차트 다무너졌다고 최소 8485까지빠진다고 그렇게말했는데
2022-12-05 09:06:00,대형주는 오를때도
2022-12-05 00:10:00,친일토착왜구 2찍늘그니덜아 하나만 묻자박영수  한도후니가 박그네 골로보낼때 과 지금의 이 딴사람이가
2022-12-05 08:20:00,친일토착왜구 2찍늘그니덜아 하나만 묻자박영수  한도후니가 박그네 골로보낼때 과 지금의 이 딴사람이가
2022-12-05 08:44:00,친일토착왜구 2찍늘그니덜아 하나만 묻자박영수  한도후니가 박그네 골로보낼때 과 지금의 이 딴사람이가
2022-12-05 00:05:00,낼장  아무래도 상한가갈듯
